нульБ	10	0.2351	0.2139	1.3595	0.6658	0.8107	0.6081	0.2187	0.2410	22627	62903	85547	4	0.9944	0.929	2.959	83	2.92	2.29	0.841	0.332	1:22% 2:23% 3:24% 4:26% 5:27% 6:24% 7:43%
нульБ	11	0.2283	0.2130	1.3047	0.6561	0.8144	0.6066	0.2163	0.2342	28032	57137	85199	5	0.4986	0.950	2.982	83	2.96	2.57	0.993	0.393	1:20% 2:23% 3:23% 4:24% 5:28% 6:24% 7:43%
нульБ	9	0.2287	0.2600	1.3775	0.6277	0.8055	0.6028	0.2158	0.2361	38122	65867	104012	5	0.5097	0.860	3.453	81	2.89	3.11	0.991	0.391	1:21% 2:22% 3:23% 4:24% 5:24% 6:23% 7:32% 8:25%
нульБ	12	0.2386	0.2213	1.4141	0.6660	0.7971	0.6076	0.2206	0.2411	10466	78049	88537	4	0.9718	0.887	2.988	84	2.88	2.61	0.983	0.389	1:22% 2:24% 3:25% 4:24% 5:20% 6:32%
нульВ	1	0.8404	0.6810	4.8491	0.0557	0.9934	1.0000	0.8406	0.7847	271599	799	272412	7	0.8762	0.933	9.443	87	2.88	2.87	0.995	0.394	1:74% 2:86% 3:83% 4:84% 5:84% 6:84% 7:84% 8:84%
нульВ	3	0.7541	0.5325	4.0960	0.2153	0.9938	1.0000	0.7754	0.3544	202171	10753	212995	6	0.9581	1.041	7.843	76	2.91	0.21	0.998	0.434	1:52% 2:59% 3:64% 4:73% 5:79% 6:83% 7:84% 8:83%
нульВ	2	0.7211	0.4078	3.1496	0.2445	1.0009	1.0000	0.7513	0.3360	151183	11878	163111	5	0.9942	1.489	7.468	82	2.82	1.64	0.991	0.394	1:48% 2:62% 3:71% 4:74% 5:77% 6:79% 7:80%
нульВ	4	0.7633	0.6789	4.8937	0.1529	1.0063	1.0000	0.7641	0.6288	269917	1638	271558	8	0.8977	0.760	8.471	81	2.85	1.78	0.984	0.393	1:79% 2:68% 3:71% 4:75% 5:76% 6:77% 7:77% 8:78%
нульВ	5	0.8144	0.5045	4.0654	0.1830	1.0109	1.0000	0.8454	0.3426	189281	12469	201807	7	0.9629	1.203	8.085	84	2.90	2.68	0.993	0.392	1:50% 2:54% 3:68% 4:82% 5:86% 6:88% 7:91% 8:91%
нульВ	6	0.8030	0.4776	3.7332	0.1729	0.9757	1.0000	0.8308	0.3632	179593	11370	191030	8	0.9375	1.351	8.218	87	2.93	2.61	0.995	0.394	1:46% 2:63% 3:77% 4:82% 5:84% 6:84% 7:80% 8:79%
нульВ	7	0.8639	0.5165	3.9070	0.0861	0.9857	1.0000	0.8737	0.3896	202418	4138	206609	7	0.9427	1.411	9.137	84	2.83	0.95	0.991	0.392	1:69% 2:75% 3:84% 4:87% 5:87% 6:88% 7:87% 8:91%
нульВ	8	0.7261	0.5291	3.9250	0.2166	0.9813	1.0000	0.7419	0.3589	202841	8744	211649	8	0.9813	1.050	7.831	88	2.85	2.04	0.982	0.364	1:63% 2:64% 3:71% 4:72% 5:73% 6:75% 7:77% 8:84%
нульВ	11	0.8600	0.5841	4.4509	0.0971	1.0011	1.0000	0.8612	0.3202	233068	534	233645	5	1.0000	1.132	9.029	85	2.88	2.80	0.997	0.366	1:88% 2:78% 3:84% 4:85% 5:86% 6:87% 7:88% 8:88%
нульВ	9	0.6405	0.3465	2.9218	0.3458	0.9913	1.0000	0.7216	0.3412	109027	29531	138601	6	0.9661	1.392	6.076	79	2.69	0.20	0.995	0.393	1:43% 2:50% 3:58% 4:67% 5:79% 6:86% 7:88%
нульВ	10	0.7610	0.4229	3.1584	0.1829	1.0025	1.0000	0.7762	0.3153	163518	5597	169167	6	0.9062	1.609	8.152	86	2.79	2.41	0.987	0.391	1:65% 2:69% 3:74% 4:78% 5:78% 6:73%
нульВ	12	0.8991	0.7477	5.8781	0.0851	0.9903	1.0000	0.8991	0.9454	298575	421	299074	7	0.8275	0.730	9.149	87	2.98	2.54	0.997	0.375	2:96% 3:87% 4:89% 5:89% 6:90% 7:90% 8:91%
