Г	4	0.6742	0.4575	3.0612	0.1929	0.6473	0.5950	0.6871	0.2827	177100	5826	182994	7	1.0000	1.403	8.061	87	2.87	2.65	0.990	0.392	1:61% 2:64% 3:66% 4:67% 5:70% 6:70% 7:67% 8:77%	0:95% 1:2% 2:1% 3:2%	0:70% 1:15% 2:2% 3:16%	0:7 1:0 2:0 3:0
Г	5	0.6164	0.3868	2.5591	0.2514	0.6349	0.5895	0.6493	0.2724	141124	13522	154703	5	0.6789	1.609	7.452	83	2.91	1.26	0.993	0.392	1:51% 2:58% 3:62% 4:62% 5:65% 6:62% 7:74%	0:95% 1:2% 2:1% 3:2%	0:64% 1:17% 2:4% 3:19%	0:5 1:0 2:0 3:0
Г	7	0.6180	0.6170	3.8062	0.1985	0.6410	0.5845	0.6295	0.3300	237354	9420	246784	8	0.8616	0.824	8.014	85	2.85	1.56	0.993	0.393	1:47% 2:55% 3:58% 4:60% 5:62% 6:63% 7:63% 8:66%	0:93% 1:3% 2:1% 3:3%	0:66% 1:18% 2:3% 3:19%	0:8 1:0 2:0 3:0
Г	8	0.5712	0.4361	3.1839	0.3491	0.6986	0.5892	0.6779	0.2732	128416	45982	174450	4	0.3970	0.994	6.259	76	2.88	0.07	0.995	0.390	1:29% 2:34% 3:46% 4:59% 5:64% 6:67% 7:70% 8:72%	0:89% 1:5% 2:2% 3:4%	0:62% 1:22% 2:12% 3:20%	0:4 1:0 2:0 3:0
Г	6	0.6753	0.6777	4.3399	0.1565	0.6400	0.5941	0.6816	0.4001	264935	6134	271071	8	0.9466	0.756	8.435	85	2.90	1.72	0.997	0.394	1:50% 2:62% 3:64% 4:66% 5:67% 6:68% 7:68% 8:70%	0:94% 1:2% 2:1% 3:3%	0:71% 1:15% 2:3% 3:17%	0:8 1:0 2:0 3:0
Г	9	0.6841	0.4834	3.3392	0.2072	0.6312	0.5906	0.6897	0.2844	190630	2676	193361	7	0.9296	1.249	7.922	81	2.78	2.96	0.990	0.393	1:63% 2:64% 3:67% 4:69% 5:69% 6:69% 7:71% 8:66%	0:95% 1:2% 2:1% 3:2%	0:71% 1:13% 2:1% 3:17%	0:7 1:0 2:0 3:0
Г	10	0.6762	0.4170	2.8458	0.2059	0.6475	0.5921	0.6948	0.2757	159332	7400	166781	4	1.0000	1.576	7.925	84	2.85	2.43	0.993	0.364	1:62% 2:66% 3:68% 4:68% 5:69% 6:74%	0:96% 1:1% 2:1% 3:1%	0:70% 1:14% 2:4% 3:14%	0:4 1:0 2:0 3:0
Г	11	0.6275	0.4213	2.7327	0.2240	0.6585	0.5892	0.6395	0.2604	163129	5341	168516	5	1.0000	1.496	7.739	85	2.88	1.70	0.981	0.389	1:61% 2:63% 3:63% 4:64% 5:61% 6:59% 7:58% 8:59%	0:95% 1:2% 2:1% 3:2%	0:65% 1:20% 2:4% 3:15%	0:5 1:0 2:0 3:0
Г	12	0.4717	0.3271	2.1116	0.3985	0.6769	0.5863	0.5484	0.2713	94614	36195	130846	7	0.9021	1.434	5.846	84	2.90	2.39	0.993	0.392	1:37% 2:43% 3:47% 4:51% 5:54% 6:56% 7:50%	0:91% 1:4% 2:2% 3:3%	0:50% 1:23% 2:11% 3:22%	0:7 1:0 2:0 3:0
безПрогноза	2	0.2399	0.1802	1.5258	0.7296	0.7810	0.6061	0.2420	0.2394	13297	58765	72084	4	0.5962	0.772	2.267	79	2.90	2.08	0.993	0.392	1:24% 2:24% 3:24% 4:22% 5:35%	0:88% 1:3% 2:2% 3:7%	0:25% 1:16% 2:14% 3:22%	0:3 1:0 2:1 3:0
безПрогноза	1	0.2321	0.3269	1.6272	0.6219	0.8168	0.6085	0.2292	0.2441	105574	25170	130777	5	0.6661	0.626	3.730	81	2.81	1.91	0.992	0.393	1:21% 2:22% 3:24% 4:24% 5:24% 6:24% 7:27% 8:50%	0:42% 1:9% 2:9% 3:40%	0:25% 1:17% 2:17% 3:24%	0:3 1:0 2:0 3:2
безПрогноза	3	0.2404	0.2292	1.5833	0.6925	0.7857	0.6085	0.2331	0.2436	28013	63652	91689	4	0.8065	0.718	2.784	80	2.81	2.60	0.995	0.379	1:23% 2:23% 3:25% 4:24% 5:29% 6:17%	0:76% 1:15% 2:4% 3:5%	0:25% 1:23% 2:15% 3:17%	0:3 1:1 2:0 3:0
безПрогноза	4	0.2428	0.2996	1.6463	0.6297	0.7882	0.6079	0.2378	0.2439	22306	97511	119852	5	0.8236	0.675	3.535	85	2.98	0.96	0.995	0.393	1:23% 2:24% 3:24% 4:25% 5:25% 6:25% 7:23% 8:20%	0:65% 1:7% 2:5% 3:23%	0:25% 1:21% 2:16% 3:25%	0:3 1:0 2:0 3:2
безПрогноза	5	0.2450	0.5482	1.8000	0.3702	0.7838	0.6088	0.2385	0.2453	9434	209818	219270	8	0.9446	0.561	5.970	88	2.94	2.48	0.994	0.392	1:24% 2:24% 3:24% 4:24% 5:24% 6:24% 7:25% 8:25%	0:38% 1:23% 2:15% 3:24%	0:26% 1:25% 2:20% 3:25%	0:2 1:2 2:2 3:2
безПрогноза	6	0.2419	0.2539	1.6278	0.6778	0.7928	0.6083	0.2509	0.2409	9332	92197	101559	7	0.9130	0.686	3.018	83	2.75	0.09	0.997	0.375	1:23% 2:24% 3:25% 4:25% 5:23% 6:27% 7:43%	0:76% 1:5% 2:4% 3:15%	0:25% 1:19% 2:15% 3:23%	0:3 1:1 2:0 3:3
