М0	9109	9	0.025	0	9	3.33	2000	2000	2000	0	9	4.76	1.000	0.022	8.00	8	-0.793	120	84
СП	9109	9	1.000	23	23	1.40	839	840	838	30	30	1.57	0.785	0.470	8.00	8	-0.018	120	84
К	9110	6	0.113	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.022	8.00	8	1.539	36	60
Т	9110	6	0.085	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.021	8.00	8	4.532	36	60
Б	9110	6	0.085	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.431	7.72	4	-0.538	36	60
М0	9110	6	0.127	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.378	7.97	7	0.682	36	60
СП	9110	6	1.000	42	42	2.61	472	472	469	50	50	1.28	0.817	0.353	8.00	8	-0.022	36	60
К	9110	9	0.093	0	9	4.00	2000	2000	2000	0	9	3.33	1.000	0.125	8.00	8	1.338	100	120
Т	9110	9	0.037	0	9	4.00	2000	2000	2000	0	9	3.33	1.000	0.658	8.00	8	3.249	100	120
Б	9110	9	0.037	0	9	4.00	2000	2000	2000	0	9	3.33	1.000	0.758	7.83	5	-0.733	100	120
М0	9110	9	0.068	0	9	4.00	2000	2000	2000	0	9	3.33	1.000	0.017	8.00	8	0.192	100	120
СП	9110	9	1.000	25	25	1.57	790	788	783	25	25	1.25	0.957	0.209	8.00	8	-0.017	100	120
К	9111	6	0.099	0	9	7.69	2000	2000	2000	0	9	11.11	1.000	0.439	8.00	8	0.874	52	36
Т	9111	6	0.099	0	9	7.69	2000	2000	2000	0	9	11.11	1.000	0.065	8.00	8	3.910	52	36
Б	9111	6	0.141	0	9	7.69	2000	2000	2000	0	9	11.11	1.000	0.344	7.90	4	-0.281	52	36
М0	9111	6	0.310	0	9	7.69	2000	2000	2000	0	9	11.11	1.000	0.020	8.00	8	-0.301	52	36
СП	9111	6	1.000	69	69	1.10	291	286	290	73	73	1.50	0.941	0.348	8.00	8	-0.018	52	36
К	9111	9	0.062	0	9	6.25	2000	2000	2000	0	9	5.00	1.000	0.472	8.00	8	1.017	64	80
