00	2905	0.8507	1.0547	0.4387	0.1893	0.6453	0.8453	0.2060	0.6929	0.7118	0.4854	0.2043	0.8000	0.9200	0.3434
Z0	2905	0.8852	0.9214	0.4748	0.2362	0.6125	0.9187	0.1460	0.7603	1.2293	0.5425	0.2255	0.8093	0.9449	0.2902
0G	2905	0.6876	1.3210	0.1951	0.2436	0.2222	0.1037	0.0526	0.6120	1.5232	0.2369	0.1732	0.3365	0.0481	0.0680
ZG	2905	1.0010	1.1755	0.2097	0.2161	0.2051	0.0000	0.0698	1.0001	0.6942	0.2680	0.2054	0.2828	0.1793	0.0609
00	2906	0.8644	0.8592	0.4576	0.1641	0.6911	0.9073	0.1231	0.8293	0.6983	0.3700	0.1426	0.7748	0.9009	0.2347
Z0	2906	0.9105	0.6856	0.4658	0.2044	0.7265	0.8898	0.2238	0.9828	0.8832	0.2181	0.1650	0.7358	0.8491	0.0588
0G	2906	0.8673	0.8759	0.1904	0.1736	0.2439	0.0976	0.0544	0.7853	0.6831	0.1036	0.1490	0.3793	0.0000	0.0225
ZG	2906	0.9687	0.6825	0.1117	0.1595	0.1587	0.0000	0.0232	0.9985	0.9654	0.1205	0.1063	0.2703	0.1351	0.0707
00	2907	-0.3238	0.8654	0.5285	0.2188	0.7697	0.9388	0.2682	0.5392	1.4086	0.4914	0.1695	0.7733	0.7384	0.2320
Z0	2907	0.6864	1.2017	0.5307	0.2157	0.6687	0.9437	0.2811	0.7101	2.0120	0.4903	0.2067	0.6974	0.8487	0.2947
0G	2907	0.8181	1.2030	0.1598	0.2085	0.4409	0.0215	0.0210	0.9253	0.9940	0.1840	0.1475	0.5000	0.1711	0.0763
ZG	2907	0.9978	0.4840	0.1905	0.1787	0.2321	0.1161	0.0276	0.9940	1.1708	0.1570	0.1753	0.3889	0.0370	0.0364
00	2908	0.7175	0.6246	0.5200	0.1726	0.7083	0.9231	0.3333	0.8278	1.7771	0.3918	0.1213	0.8333	0.9583	0.2114
Z0	2908	0.7254	0.9672	0.5027	0.1680	0.7097	0.8746	0.3579	0.7262	0.9640	0.4180	0.1709	0.8692	0.9346	0.2472
0G	2908	0.8491	0.9100	0.1404	0.1836	0.2809	0.1011	0.0633	0.7419	0.7638	0.2364	0.1294	0.3678	0.1609	0.1521
ZG	2908	0.9967	1.3643	0.1656	0.1845	0.1810	0.0000	0.0660	0.8996	0.6856	0.3018	0.1451	0.2451	0.2451	0.1912
00	2909	0.9005	1.2571	0.5221	0.1471	0.7232	0.8870	0.2384	0.8213	0.6230	0.5371	0.2469	0.6243	0.8177	0.3700
Z0	2909	0.9310	0.9923	0.4784	0.1677	0.6506	0.9458	0.1937	0.6891	0.8892	0.5778	0.2225	0.7115	0.8846	0.3454
0G	2909	0.9996	0.8451	0.2080	0.1851	0.4106	0.0795	0.0773	1.0009	0.5237	0.1374	0.1412	0.4074	0.1481	0.0706
ZG	2909	1.0005	0.6470	0.2203	0.1839	0.2191	0.1517	0.0654	0.9351	0.8208	0.1663	0.2136	0.2466	0.0822	0.0855
00	2910	0.6255	0.9445	0.5707	0.1229	0.8319	0.9322	0.4084	0.7091	0.5799	0.5342	0.1597	0.8205	0.9359	0.3642
Z0	2910	0.8257	-0.4787	0.5559	0.1672	0.7927	0.9268	0.3774	0.8581	3.0289	0.4897	0.1469	0.7470	0.8614	0.3091
0G	2910	0.7975	0.8326	0.1664	0.1473	0.2871	0.0000	0.0491	0.6260	1.4571	0.1377	0.1398	0.6429	0.0238	0.0251
