4806	10	45	0.95296	0.95296	0.95296	6.997e-1
4806	10	46	0.99000	0.99000	0.99000	2.605e+0
4806	10	47	0.99000	0.99000	0.99000	2.151e+0
4806	10	48	0.97051	0.97051	0.97051	1.758e+0
4806	10	49	0.98551	0.98551	0.98551	1.435e+0
4806	10	50	0.97029	0.97029	0.97029	7.706e-1
4806	10	51	0.97371	0.96996	0.96996	1.322e+0
4806	10	52	0.95361	0.95361	0.95361	1.871e+0
4806	10	53	0.96720	0.96720	0.96720	9.523e-1
4806	10	54	0.96059	0.96058	0.96058	7.913e-1
4806	10	55	0.98066	0.98066	0.98066	1.943e+0
4806	10	56	0.99250	0.98531	0.98531	9.772e-1
4806	10	57	0.96450	0.96450	0.96450	1.370e+0
4806	10	58	0.99000	0.99000	0.99000	1.531e+0
4806	10	59	0.98873	0.98873	0.98873	1.095e+0
4806	10	60	0.99000	0.99000	0.99000	1.068e+0
4806	10	61	0.97155	0.97155	0.97155	2.922e+0
4806	10	62	0.96479	0.96479	0.96479	8.638e-1
4806	10	63	0.99000	0.99000	0.99000	1.390e+0
4806	10	64	0.95169	0.95169	0.95169	7.720e-1
4806	10	65	0.97098	0.97098	0.97098	8.001e-1
4806	10	66	0.95807	0.95807	0.95807	1.000e+0
4806	10	67	0.99000	0.99000	0.99000	1.369e+0
4806	10	68	0.97508	0.97508	0.97508	2.433e+0
4806	10	69	0.95258	0.95258	0.95258	9.835e-1
4806	10	70	0.97693	0.97693	0.97693	1.528e+0
4806	10	71	0.95649	0.95649	0.95649	8.418e-1
4806	10	72	0.99000	0.99000	0.99000	1.333e+0
4806	10	73	0.96401	0.96401	0.96401	8.543e-1
4806	10	74	0.98064	0.98064	0.98064	1.637e+0
4806	10	75	0.97673	0.97673	0.97673	2.256e+0
4806	10	76	0.97478	0.97478	0.97478	1.257e+0
4806	10	77	0.96101	0.96101	0.96101	1.027e+0
4806	10	78	0.99016	0.99016	0.99012	2.130e+0
4806	10	79	0.96478	0.96478	0.96478	1.944e+0
4806	10	80	0.94260	0.94260	0.94260	1.626e+0
4806	10	81	0.92681	0.92681	0.92681	9.358e-1
4806	10	82	0.93472	0.93472	0.93472	1.625e+0
4806	10	83	0.97259	0.97259	0.97259	6.552e-1
4806	10	84	0.94121	0.94121	0.94121	8.749e-1
4806	10	85	0.99000	0.99000	0.99000	1.063e+0
4806	10	86	0.99000	0.99000	0.99000	1.268e+0
4806	10	87	0.99000	0.99000	0.99000	2.241e+0
4806	10	88	0.98595	0.98595	0.98595	7.858e-1
4806	10	89	0.99000	0.99000	0.99000	1.358e+0
4806	10	90	0.98667	0.98667	0.98667	9.195e-1
4806	10	91	0.95892	0.95892	0.95892	1.984e+0
4806	10	92	0.97297	0.97297	0.97297	1.461e+0
4806	10	93	0.99000	0.99000	0.95639	1.578e+0
4806	10	94	0.94372	0.94372	0.94372	1.764e+0
4806	10	95	0.99000	0.99000	0.99000	2.169e+0
4806	10	96	0.95721	0.95721	0.95721	1.070e+0
4806	10	97	0.96990	0.96990	0.96990	1.718e+0
4806	10	98	0.95574	0.95574	0.95574	1.557e+0
4806	10	99	0.94261	0.94127	0.94127	1.851e+0
4806	30	0	0.95899	0.95899	0.92812	1.933e+0
4806	30	1	0.90704	0.90704	0.90704	2.105e+0
4806	30	2	0.93344	0.91588	0.91588	2.542e+0
4806	30	3	0.98451	0.97560	0.97560	1.607e+0
4806	30	4	0.94379	0.94379	0.94379	1.309e+0
4806	30	5	0.96238	0.96238	0.96238	2.009e+0
4806	30	6	0.95000	0.95000	0.95000	1.139e+0
4806	30	7	0.96137	0.96137	0.96137	1.503e+0
4806	30	8	0.92639	0.92627	0.92627	1.457e+0
4806	30	9	0.95066	0.95066	0.95066	1.717e+0
4806	30	10	0.97151	0.97151	0.97151	9.672e-1
4806	30	11	0.95830	0.95830	0.95830	1.382e+0
4806	30	12	0.96642	0.96642	0.96642	9.709e-1
4806	30	13	0.97911	0.97911	0.97911	1.170e+0
4806	30	14	0.95636	0.95636	0.95636	9.541e-1
4806	30	15	0.92259	0.92259	0.91112	2.343e+0
4806	30	16	0.91151	0.91151	0.91151	1.017e+0
4806	30	17	0.91040	0.91040	0.91040	1.155e+0
4806	30	18	0.99000	0.99000	0.99000	3.930e+0
4806	30	19	0.93017	0.93017	0.93017	1.475e+0
4806	30	20	0.93481	0.93481	0.93481	1.085e+0
4806	30	21	0.90814	0.90814	0.90814	1.185e+0
4806	30	22	0.86183	0.86183	0.86183	2.218e+0
4806	30	23	0.95342	0.95342	0.95342	1.307e+0
4806	30	24	0.91132	0.91132	0.91132	1.234e+0
4806	30	25	0.93976	0.93976	0.93976	3.575e+0
4806	30	26	0.92618	0.92618	0.92618	1.742e+0
4806	30	27	0.94825	0.94825	0.94825	1.077e+0
4806	30	28	0.94248	0.94248	0.94248	1.270e+0
4806	30	29	0.99000	0.99000	0.99000	3.207e+0
4806	30	30	0.98827	0.98832	0.98832	1.837e+0
4806	30	31	0.93233	0.93254	0.93254	2.404e+0
4806	30	32	0.99000	0.99000	0.99000	1.788e+0
4806	30	33	0.88619	0.88598	0.88598	6.892e-1
4806	30	34	0.89720	0.89720	0.89720	1.790e+0
4806	30	35	0.99000	0.99000	0.99000	2.787e+0
4806	30	36	0.95886	0.95886	0.95886	2.066e+0
